,Accuracy,AUC,F1 Measure,Mean CV on Train
alcoholic_21_knn_sig1_time_aug,0.60625,0.6540625000000001,0.6701570680628272,0.4990885416666667
alcoholic_21_knn_sig1_ts_scale,0.575,0.594765625,0.6179775280898877,0.421171875
alcoholic_21_knn_sig1_ts_scale_standard_scale,0.51875,0.56515625,0.5389221556886229,0.4621875
alcoholic_21_knn_sig1_ts_scale_standard_scale_time_aug,0.51875,0.56515625,0.5389221556886229,0.4621875
alcoholic_21_knn_sig1_ts_scale_time_aug,0.575,0.594765625,0.6179775280898877,0.421171875
alcoholic_21_knn_sig2,0.825,0.915078125,0.8333333333333334,0.7471875
alcoholic_21_knn_sig2_standard_scale,0.76875,0.8641406249999999,0.7955801104972375,0.7020833333333333
alcoholic_21_knn_sig2_standard_scale_time_aug,0.75,0.862109375,0.7777777777777777,0.7041145833333333
alcoholic_21_knn_sig2_time_aug,0.825,0.91515625,0.8333333333333334,0.7471875
alcoholic_21_knn_sig2_ts_scale,0.74375,0.854921875,0.7050359712230215,0.6951822916666667
alcoholic_21_knn_sig2_ts_scale_standard_scale,0.73125,0.818671875,0.6906474820143884,0.6553125
alcoholic_21_knn_sig2_ts_scale_standard_scale_time_aug,0.74375,0.82359375,0.7092198581560285,0.6291145833333334
alcoholic_21_knn_sig2_ts_scale_time_aug,0.73125,0.848125,0.6861313868613139,0.724140625
alcoholic_21_lr_sig1,0.6625,0.65734375,0.6625,0.5965104166666666
alcoholic_21_lr_sig1_standard_scale,0.6375,0.64453125,0.6627906976744186,0.6155729166666667
alcoholic_21_lr_sig1_standard_scale_time_aug,0.6375,0.64453125,0.6627906976744186,0.6155729166666667
alcoholic_21_lr_sig1_time_aug,0.6625,0.6559375000000001,0.6625,0.6018749999999999
alcoholic_21_lr_sig1_ts_scale,0.60625,0.6540624999999999,0.6086956521739131,0.6094791666666667
alcoholic_21_lr_sig1_ts_scale_standard_scale,0.58125,0.6446874999999999,0.603550295857988,0.6340104166666667
alcoholic_21_lr_sig1_ts_scale_standard_scale_time_aug,0.58125,0.6446874999999999,0.603550295857988,0.6340104166666667
alcoholic_21_lr_sig1_ts_scale_time_aug,0.60625,0.6540624999999999,0.6086956521739131,0.6149479166666667
alcoholic_21_lr_sig2,0.8875,0.932109375,0.8875,0.7610416666666666
alcoholic_21_lr_sig2_standard_scale,0.85625,0.92921875,0.863905325443787,0.7297395833333333
alcoholic_21_lr_sig2_standard_scale_time_aug,0.85625,0.9290625,0.863905325443787,0.7298958333333333
alcoholic_21_lr_sig2_time_aug,0.8875,0.935546875,0.8875,0.7790104166666667
alcoholic_21_lr_sig2_ts_scale,0.89375,0.9540625,0.8930817610062892,0.7591145833333333
alcoholic_21_lr_sig2_ts_scale_standard_scale,0.91875,0.94625,0.9212121212121211,0.7445833333333334
alcoholic_21_lr_sig2_ts_scale_standard_scale_time_aug,0.89375,0.94,0.8982035928143712,0.7422916666666667
alcoholic_21_lr_sig2_ts_scale_time_aug,0.88125,0.94515625,0.8805031446540881,0.7471354166666667
alcoholic_21_rf_sig1,0.65,0.7518750000000001,0.6585365853658537,0.5626562500000001
alcoholic_21_rf_sig1_standard_scale,0.65,0.73265625,0.6266666666666667,0.5497395833333333
alcoholic_21_rf_sig1_standard_scale_time_aug,0.66875,0.7421875,0.65359477124183,0.5353125000000001
alcoholic_21_rf_sig1_time_aug,0.65,0.7575,0.6585365853658537,0.5220312500000001
alcoholic_21_rf_sig1_ts_scale,0.63125,0.664375,0.6380368098159509,0.4674999999999999
alcoholic_21_rf_sig1_ts_scale_standard_scale,0.6125,0.6381249999999999,0.6025641025641025,0.4674999999999999
alcoholic_21_rf_sig1_ts_scale_standard_scale_time_aug,0.59375,0.649375,0.5695364238410596,0.4502604166666667
alcoholic_21_rf_sig1_ts_scale_time_aug,0.65,0.67796875,0.654320987654321,0.4502604166666667
alcoholic_21_rf_sig2,0.85625,0.94515625,0.8571428571428572,0.805625
alcoholic_21_rf_sig2_standard_scale,0.84375,0.939375,0.8427672955974843,0.805625
alcoholic_21_rf_sig2_standard_scale_time_aug,0.875,0.94859375,0.8717948717948718,0.8009895833333334
alcoholic_21_rf_sig2_time_aug,0.8875,0.95484375,0.8846153846153847,0.8009895833333334
alcoholic_21_rf_sig2_ts_scale,0.875,0.92390625,0.8765432098765432,0.8042708333333334
alcoholic_21_rf_sig2_ts_scale_standard_scale,0.88125,0.9209375,0.8834355828220859,0.8086979166666668
alcoholic_21_rf_sig2_ts_scale_standard_scale_time_aug,0.825,0.9084375,0.8205128205128205,0.8055208333333332
alcoholic_21_rf_sig2_ts_scale_time_aug,0.81875,0.9109375,0.8129032258064516,0.8055208333333332
alcoholic_21_svc_sig1,0.68125,0.7592187499999999,0.7052023121387283,0.5400520833333333
alcoholic_21_svc_sig1_standard_scale,0.675,0.7598437499999999,0.6578947368421053,0.5726041666666666
alcoholic_21_svc_sig1_standard_scale_time_aug,0.675,0.7598437499999999,0.6578947368421053,0.5726041666666666
alcoholic_21_svc_sig1_time_aug,0.68125,0.7592187499999999,0.7052023121387283,0.5392708333333334
alcoholic_21_svc_sig1_ts_scale,0.6625,0.72546875,0.6493506493506493,0.5953125
alcoholic_21_svc_sig1_ts_scale_standard_scale,0.68125,0.7229687499999999,0.670967741935484,0.5189583333333333
alcoholic_21_svc_sig1_ts_scale_standard_scale_time_aug,0.68125,0.7229687499999999,0.670967741935484,0.5189583333333333
alcoholic_21_svc_sig1_ts_scale_time_aug,0.66875,0.723125,0.65359477124183,0.6063541666666666
alcoholic_21_svc_sig2,0.8375,0.94796875,0.8470588235294118,0.7049479166666667
alcoholic_21_svc_sig2_standard_scale,0.85625,0.94828125,0.8588957055214724,0.6954687500000001
alcoholic_21_svc_sig2_standard_scale_time_aug,0.8625,0.94734375,0.8641975308641976,0.7053645833333333
alcoholic_21_svc_sig2_time_aug,0.8375,0.94796875,0.8470588235294118,0.7049479166666667
alcoholic_21_svc_sig2_ts_scale,0.875,0.9240625,0.8795180722891567,0.7775000000000001
alcoholic_21_svc_sig2_ts_scale_standard_scale,0.88125,0.938125,0.8848484848484848,0.7719270833333333
alcoholic_21_svc_sig2_ts_scale_standard_scale_time_aug,0.875,0.9375,0.8780487804878048,0.76875
alcoholic_21_svc_sig2_ts_scale_time_aug,0.875,0.925,0.8795180722891567,0.7720312500000001
alcoholic_21_ts_knn_ts_scale,0.84375,0.92078125,0.84472049689441,0.6458854166666667
alcoholic_21_ts_knn_ts_scale_time_aug,0.85,0.924453125,0.85,0.6228906249999999
alcoholic_21_ts_svc_ts_scale,0.85625,0.929765625,0.8516129032258064,0.65515625
alcoholic_21_ts_svc_ts_scale_time_aug,0.85625,0.929921875,0.8516129032258064,0.65359375
